SFBMM_000010	SFBMM_CONTIG01	-1	598
SFBMM_000020	SFBMM_CONTIG01	649	984
SFBMM_000030	SFBMM_CONTIG01	1022	2503
SFBMM_000060	SFBMM_CONTIG01	3024	3461
SFBMM_000070	SFBMM_CONTIG01	3476	4732
SFBMM_000090	SFBMM_CONTIG01	4997	5596
SFBMM_000100	SFBMM_CONTIG01	5707	7146
SFBMM_000110	SFBMM_CONTIG01	7159	7644
SFBMM_000120	SFBMM_CONTIG01	7697	8764
SFBMM_000130	SFBMM_CONTIG01	8754	10154
SFBMM_000140	SFBMM_CONTIG01	10308	11288
SFBMM_000150	SFBMM_CONTIG01	11301	11846
SFBMM_000160	SFBMM_CONTIG01	11847	12383
SFBMM_000170	SFBMM_CONTIG01	12417	15452
SFBMM_000180	SFBMM_CONTIG01	15499	16629
SFBMM_000190	SFBMM_CONTIG01	16648	16899
SFBMM_000200	SFBMM_CONTIG01	16942	18447
SFBMM_000210	SFBMM_CONTIG01	18466	18891
SFBMM_000220	SFBMM_CONTIG01	19108	19506
SFBMM_000230	SFBMM_CONTIG01	19475	19807
SFBMM_000250	SFBMM_CONTIG01	20147	20986
SFBMM_000260	SFBMM_CONTIG01	20990	21958
SFBMM_000270	SFBMM_CONTIG01	22041	23213
SFBMM_000280	SFBMM_CONTIG01	23203	26784
SFBMM_000290	SFBMM_CONTIG01	26784	30194
SFBMM_000320	SFBMM_CONTIG01	30654	32306
SFBMM_000330	SFBMM_CONTIG01	32284	33570
SFBMM_000340	SFBMM_CONTIG01	33638	34144
SFBMM_000370	SFBMM_CONTIG01	34463	36892
SFBMM_000380	SFBMM_CONTIG01	36911	38830
SFBMM_000390	SFBMM_CONTIG01	38862	39119
SFBMM_000400	SFBMM_CONTIG01	39121	40221
SFBMM_000410	SFBMM_CONTIG01	40287	41393
SFBMM_000420	SFBMM_CONTIG01	41623	42987
SFBMM_000430	SFBMM_CONTIG01	43401	43535
SFBMM_000440	SFBMM_CONTIG01	43612	43950
SFBMM_000450	SFBMM_CONTIG01	43947	44162
SFBMM_000460	SFBMM_CONTIG01	44231	44923
SFBMM_000470	SFBMM_CONTIG01	44975	46339
SFBMM_000480	SFBMM_CONTIG01	46347	48230
SFBMM_000490	SFBMM_CONTIG01	48227	48928
SFBMM_000500	SFBMM_CONTIG01	48960	49670
SFBMM_000510	SFBMM_CONTIG01	49777	50112
SFBMM_000520	SFBMM_CONTIG01	50186	51037
SFBMM_000530	SFBMM_CONTIG01	51034	51810
SFBMM_000540	SFBMM_CONTIG01	51832	53010
SFBMM_000550	SFBMM_CONTIG01	53071	53313
SFBMM_000560	SFBMM_CONTIG01	53405	53689
SFBMM_000570	SFBMM_CONTIG01	53700	54131
SFBMM_000580	SFBMM_CONTIG01	54112	54438
SFBMM_000590	SFBMM_CONTIG01	54451	55455
SFBMM_000600	SFBMM_CONTIG01	55430	56422
SFBMM_000610	SFBMM_CONTIG01	56559	57743
SFBMM_000620	SFBMM_CONTIG01	57773	58963
SFBMM_000630	SFBMM_CONTIG01	59027	59527
SFBMM_000640	SFBMM_CONTIG01	59658	59816
SFBMM_000650	SFBMM_CONTIG01	60071	61357
SFBMM_000660	SFBMM_CONTIG01	61374	62153
SFBMM_000670	SFBMM_CONTIG01	62159	62317
SFBMM_000680	SFBMM_CONTIG01	62341	62838
SFBMM_000690	SFBMM_CONTIG01	62823	63212
SFBMM_000700	SFBMM_CONTIG01	63209	63598
SFBMM_000710	SFBMM_CONTIG01	63662	65011
SFBMM_000720	SFBMM_CONTIG01	65117	65671
SFBMM_000730	SFBMM_CONTIG01	65675	67597
SFBMM_000740	SFBMM_CONTIG01	67644	68087
SFBMM_000750	SFBMM_CONTIG01	68355	69911
SFBMM_000760	SFBMM_CONTIG01	69939	71705
SFBMM_000770	SFBMM_CONTIG01	72041	72247
SFBMM_000780	SFBMM_CONTIG01	72276	73130
SFBMM_000790	SFBMM_CONTIG01	73090	74820
SFBMM_000800	SFBMM_CONTIG01	74854	75444
SFBMM_000810	SFBMM_CONTIG01	75486	76412
